year,data_mean_global,data_mean_nh,data_mean_sh
2015,1841.93374957534,1889.71430036269,1794.15319878798
2016,1851.59413461769,1900.63989100117,1802.54837823421
2017,1874.20933395731,1921.85344570076,1826.56522221386
2018,1888.61118506636,1936.08436298485,1841.13800714786
2019,1902.8607590916,1950.42026987088,1855.30124831232
2020,1916.97092303606,1964.54827558478,1869.39357048735
2021,1930.93051807556,1978.10962590604,1883.75141024508
2022,1941.75985214875,1988.47374302644,1895.04596127106
2023,1946.65963831812,1992.90915231485,1900.41012432138
2024,1946.05934137366,1991.84401330462,1900.27466944269
2025,1940.31909748373,1985.63876858927,1894.9994263782
2026,1929.81885439518,1974.67331176837,1884.96439702199
2027,1914.88864127869,1959.27768583124,1870.49959672614
2028,1895.82841695536,1939.75192631574,1851.90490759499
2029,1872.92826275928,1916.38598428189,1829.47054123667
2030,1846.47801089811,1889.51104714319,1803.44497465304
2031,1816.7080954952,1859.56267313511,1773.85351785529
2032,1785.69833872507,1828.4140177559,1742.98265969424
2033,1755.36832157007,1797.9444003247,1712.79224281545
2034,1725.67836291585,1768.11505476833,1683.24167106337
2035,1696.58838906967,1738.88566097919,1654.29111716015
2036,1668.06841297744,1710.22630050197,1625.91052545292
2037,1640.07844110369,1682.09695715139,1598.059925056
2038,1612.59845952219,1654.47762283528,1570.7192962091
2039,1585.59849087226,1627.33830340638,1543.85867833813
2040,1559.04848701003,1600.66190432514,1517.43506969492
2041,1532.92859687088,1574.49296500899,1491.36422873277
2042,1507.87876486091,1549.40648645836,1466.35104326345
2043,1484.51882052232,1526.00967275591,1443.02796828873
2044,1462.70890386982,1504.16305261836,1421.25475512128
2045,1442.34896914882,1483.76643748017,1400.93150081748
2046,1423.32903280043,1464.70989612736,1381.9481694735
2047,1405.54909228964,1446.89339954637,1364.20478503291
2048,1388.91914372402,1430.22694927493,1347.61133817311
2049,1373.34919900888,1414.62054757205,1332.07785044571
2050,1358.76923504155,1400.01100047721,1317.52746960588
2051,1345.08930288455,1386.34248234097,1303.83612342812
2052,1332.39936993698,1373.67070622169,1291.12803365226
2053,1320.75941844055,1362.04890563461,1279.46993124649
2054,1310.09946686892,1351.40716009993,1268.79177363792
2055,1300.34950968622,1341.6754430732,1259.02357629924
2056,1291.4395499062,1332.78376540844,1250.09533440397
2057,1283.30958984151,1324.67211706669,1241.94706261633
2058,1275.90962069941,1317.29049019896,1234.52875119985
2059,1269.16965608336,1310.56890865408,1227.77040351264
2060,1263.05968790248,1304.4739554567,1221.64542034826
2061,1257.51969540495,1298.92877800282,1216.11061280708
2062,1252.35968701347,1293.76034291582,1210.95903111113
2063,1247.38970146273,1288.78201784598,1205.99738507948
2064,1242.59970662509,1283.98365851166,1201.21575473852
2065,1237.96971514092,1279.34532953962,1196.59410074222
2066,1233.48972351024,1274.85699612589,1192.1224508946
2067,1229.1597310771,1270.51866440287,1187.80079775133
2068,1224.96973553325,1266.32033714339,1183.6191339231
2069,1220.89974247258,1262.24202438197,1179.55746056319
2070,1216.93974306449,1258.27911231374,1175.60037381524
2071,1213.09978238911,1254.46863452319,1171.73093025503
2072,1209.60983884257,1251.01339380825,1168.2062838769
2073,1206.69986125594,1248.13802321051,1165.26169930137
2074,1204.32989339099,1245.80273403335,1162.85705274864
2075,1202.46990972316,1243.97742014465,1160.96239930167
2076,1201.04993757853,1242.5921797202,1159.50769543687
2077,1200.05995580053,1241.63690870991,1158.48300289115
2078,1199.45997401846,1241.07168290305,1157.84826513387
2079,1199.2099915155,1240.85646634953,1157.56351668148
2080,1199.29001020209,1240.96897540767,1157.61104499652
2081,1199.67000797891,1241.36775404982,1157.97226190799
2082,1200.21000021325,1241.9243462916,1158.4956541349
2083,1200.79000457971,1242.52099525369,1159.05901390573
2084,1201.41000476079,1243.15762106533,1159.66238845625
2085,1202.06000732291,1243.82426884011,1160.29574580571
2086,1202.74000924303,1244.5209045729,1160.95911391315
2087,1203.45000983053,1245.24754621042,1161.65247345063
2088,1204.18001093775,1245.99419227682,1162.36582959869
2089,1204.93001458271,1246.76083902668,1163.09919013874
2090,1205.71001284721,1247.55928558241,1163.860740112
2091,1206.51002590562,1248.38863342603,1164.63141838521
2092,1207.41004133042,1249.31971931416,1165.50036334667
2093,1208.48005376128,1250.4207864725,1166.53932105007
2094,1209.73005802549,1251.70184133642,1167.75827471455
2095,1211.12006760344,1253.12293884888,1169.11719635801
2096,1212.65007269723,1254.68400924191,1170.61613615255
2097,1214.30008055503,1256.36511634966,1172.23504476041
2098,1216.07008675272,1258.16619888931,1173.97397461612
2099,1217.95009009251,1260.0773044269,1175.82287575812
2100,1219.92009970949,1262.07351074134,1177.76668867765
2101,1221.98007968135,1264.130333887,1179.82982547569
2102,1223.93004589842,1266.07240264273,1181.7876891541
2103,1225.60003456409,1267.73453818335,1183.46553094484
2104,1227.01002266222,1269.13665116907,1184.88339415537
2105,1228.18000999986,1270.2987625916,1186.06125740812
2106,1229.13000285187,1271.24085317944,1187.01915252429
2107,1229.88999161225,1271.99293082506,1187.78705239944
2108,1230.46998508027,1272.56500616204,1188.37496399849
2109,1230.88997670887,1272.97707047206,1188.80288294569
2110,1231.16997278874,1273.24911948008,1189.0908260974
2111,1231.31996078028,1273.39117927609,1189.24874228448
2112,1231.33996338426,1273.40322223202,1189.27670453649
2113,1231.26995136749,1273.32525059143,1189.21465214355
2114,1231.08995126515,1273.1372929685,1189.04260956179
2115,1230.82994579555,1272.86931371642,1188.79057787467
2116,1230.48994185823,1272.52133785026,1188.45854586621
2117,1230.07994045199,1272.10335424743,1188.05652665654
2118,1229.60993478535,1271.6253738183,1187.59449575241
2119,1229.0799360825,1271.08738479489,1187.0724873701
2120,1228.50993072823,1270.50938667813,1186.51047477833
2121,1227.88992961509,1269.88139725255,1185.89846197764
2122,1227.22992840075,1269.21339980563,1185.24645699588
2123,1226.53992705601,1268.51539683555,1184.56445727646
2124,1225.81992392666,1267.78739674057,1183.85245111275
