year,data_mean_global,data_mean_nh,data_mean_sh
2015,1841.92125418146,1889.70181103594,1794.14069732697
2016,1851.59424795816,1900.6827738504,1802.50572206592
2017,1875.31970085494,1923.28376029998,1827.35564140991
2018,1893.00162782346,1940.98605709004,1845.01719855688
2019,1912.56132085501,1960.80209902134,1864.32054268869
2020,1933.86154954224,1982.31346536403,1885.40963372044
2021,1956.77135086618,2005.15699101722,1908.38571071514
2022,1979.10096468571,2027.37583796532,1930.82609140609
2023,1998.77089166859,2046.93564938673,1950.60613395044
2024,2015.99075716428,2064.04511834804,1967.93639598052
2025,2030.92064921054,2078.86456527334,1982.97673314774
2026,2043.73054713353,2091.56390852781,1995.89718573925
2027,2054.5804487099,2102.3031731245,2006.8577242953
2028,2063.59035827175,2111.2023863948,2015.97833014869
2029,2070.92028737717,2118.42149494601,2023.41907980833
2030,2076.67017592935,2124.08063039908,2029.25972145962
2031,2080.96023740401,2128.39998358357,2033.52049122444
2032,2084.90039493644,2132.38864006103,2037.41214981185
2033,2089.54039801781,2137.07676529259,2042.00403074302
2034,2094.82044093308,2142.40506568354,2047.23581618262
2035,2100.71046765485,2148.34333804984,2053.07759725985
2036,2107.17049981292,2154.85164420375,2059.48935542209
2037,2114.17052305772,2161.89996089577,2066.44108521967
2038,2121.67055468172,2169.4483009249,2073.89280843854
2039,2129.65056905486,2177.47664706457,2081.82449104516
2040,2138.06060547638,2185.92959008712,2090.19162086564
2041,2146.8905895083,2194.76989870651,2099.0112803101
2042,2155.85055102698,2203.73497089823,2107.96613115573
2043,2164.66055244583,2212.55019126543,2116.77091362622
2044,2173.34054656771,2221.23535522735,2125.44573790806
2045,2181.91053924401,2229.81052218139,2134.01055630662
2046,2190.37053725339,2238.27568959091,2142.46538491587
2047,2198.74053078349,2246.65084174622,2150.83021982076
2048,2207.02052808796,2254.93599967964,2159.10505649628
2049,2215.22052321667,2263.14114861979,2167.29989781355
2050,2223.35052473913,2271.27646580725,2175.42458367101
2051,2231.42050808474,2279.35279353107,2183.48822263841
2052,2239.34048676235,2287.27935777665,2191.40161574805
2053,2247.03047791756,2294.9759633123,2199.08499252282
2054,2254.5004638173,2302.45254789785,2206.54837973676
2055,2261.76046068598,2309.719137471,2213.80178390097
2056,2268.85044679809,2316.81569185139,2220.8852017448
2057,2275.76044027187,2323.73226860934,2227.7886119344
2058,2282.51043479262,2330.48882390862,2234.53204567662
2059,2289.1204239198,2337.10536992981,2241.13547790978
2060,2295.59042552235,2343.58067710749,2247.60017393722
2061,2301.95040477317,2349.93845979635,2253.96234975
2062,2308.12038874079,2356.10506754054,2260.13570994104
2063,2314.06037986218,2362.04168264491,2266.07907707945
2064,2319.79036567556,2367.76827919238,2271.81245215874
2065,2325.31035932064,2373.28488709653,2277.33583154475
2066,2330.65034936114,2378.62146670086,2282.67923202143
2067,2335.82034076914,2383.7880503942,2287.85263114407
2068,2340.83033491951,2388.79462646297,2292.86604337604
2069,2345.70032636448,2393.66118928961,2297.73946343935
2070,2350.44032606986,2398.39528306726,2302.48536907245
2071,2355.06029530356,2402.99451796196,2307.12607264516
2072,2359.40025734901,2407.3114054639,2311.48910923412
2073,2363.3202425581,2411.2083642183,2315.4321208979
2074,2366.8602184309,2414.72526317566,2318.99517368613
2075,2370.03020454772,2417.87218744343,2322.18822165202
2076,2372.87018604105,2420.68906635043,2325.05130573168
