year,data_mean_global,data_mean_nh,data_mean_sh
0,644.99072265625,666.676147460938,623.305236816406
1,653.536010742188,675.227233886719,631.844787597656
2,653.59912109375,675.292785644531,631.905456542969
3,653.634033203125,675.327392578125,631.940612792969
4,653.679016113281,675.372436523438,631.985595703125
5,653.723022460938,675.416442871094,632.029602050781
6,653.772033691406,675.465393066406,632.07861328125
7,653.838012695312,675.531433105469,632.144592285156
8,653.867004394531,675.560424804688,632.173583984375
9,653.929016113281,675.622436523438,632.235656738281
10,653.993041992188,675.686462402344,632.299560546875
11,654.022033691406,675.715454101562,632.32861328125
12,654.059020996094,675.75244140625,632.365600585938
13,654.121032714844,675.814392089844,632.427673339844
14,654.192993164062,675.886413574219,632.499572753906
15,654.215026855469,675.908447265625,632.521606445312
16,654.296997070312,675.990417480469,632.603637695312
17,654.348999023438,676.042419433594,632.655578613281
18,654.418029785156,676.111389160156,632.724609375
19,654.507019042969,676.200439453125,632.813598632812
20,654.578002929688,676.271423339844,632.884643554688
21,654.658996582031,676.352416992188,632.965637207031
22,654.753051757812,676.446411132812,633.059631347656
23,654.861999511719,676.555419921875,633.168640136719
24,654.968017578125,676.661376953125,633.274658203125
25,655.106018066406,676.799377441406,633.412658691406
26,655.236022949219,676.929382324219,633.542663574219
27,655.356994628906,677.050415039062,633.663635253906
28,655.460998535156,677.154418945312,633.767639160156
29,655.575012207031,677.268371582031,633.881652832031
30,655.674011230469,677.367370605469,633.980651855469
31,655.7900390625,677.4833984375,634.096618652344
32,655.856018066406,677.549438476562,634.162658691406
33,655.962036132812,677.655395507812,634.268615722656
34,656.059997558594,677.75341796875,634.366638183594
35,656.170043945312,677.863403320312,634.476623535156
36,656.289001464844,677.982421875,634.595642089844
37,656.397033691406,678.090393066406,634.70361328125
38,656.501037597656,678.194396972656,634.807678222656
39,656.623046875,678.31640625,634.929626464844
40,656.738037109375,678.431396484375,635.044677734375
41,656.851989746094,678.54541015625,635.158630371094
42,656.9560546875,678.6494140625,635.262634277344
43,657.069030761719,678.762390136719,635.375610351562
44,657.158020019531,678.851440429688,635.464660644531
45,657.264038085938,678.957397460938,635.570617675781
46,657.3330078125,679.026428222656,635.6396484375
47,657.428039550781,679.121398925781,635.734680175781
48,657.551025390625,679.244384765625,635.857666015625
49,657.666015625,679.359375,635.97265625
50,657.777038574219,679.470397949219,636.083618164062
51,657.886047363281,679.579406738281,636.192626953125
52,657.997009277344,679.690368652344,636.303649902344
53,658.093994140625,679.787414550781,636.400634765625
54,658.213012695312,679.906372070312,636.519653320312
55,658.3740234375,680.0673828125,636.6806640625
56,658.490051269531,680.183410644531,636.796691894531
57,658.656982421875,680.350341796875,636.963684082031
58,658.77001953125,680.463439941406,637.07666015625
59,658.898010253906,680.591369628906,637.204650878906
60,659.023010253906,680.716369628906,637.329650878906
61,659.155029296875,680.848388671875,637.461669921875
62,659.285034179688,680.978393554688,637.591674804688
63,659.382019042969,681.075378417969,637.688598632812
64,659.391052246094,681.08447265625,637.697631835938
65,659.530029296875,681.223327636719,637.836669921875
66,659.666015625,681.359375,637.97265625
67,659.799987792969,681.493347167969,638.106628417969
68,659.891052246094,681.584411621094,638.197631835938
69,660.033020019531,681.726379394531,638.339660644531
70,660.136047363281,681.829406738281,638.442626953125
71,660.289001464844,681.982360839844,638.595703125
72,660.427001953125,682.120361328125,638.733642578125
73,660.461975097656,682.155456542969,638.7685546875
74,660.437072753906,682.130493164062,638.74365234375
75,660.677978515625,682.371215820312,638.984741210938
76,660.778015136719,682.471496582031,639.084533691406
77,660.798034667969,682.491455078125,639.104614257812
78,660.903015136719,682.596374511719,639.209655761719
79,661.007019042969,682.700378417969,639.313598632812
80,661.114074707031,682.807434082031,639.420715332031
81,661.385986328125,683.079223632812,639.692749023438
82,661.470031738281,683.163513183594,639.776550292969
83,661.588012695312,683.281311035156,639.894714355469
84,661.690002441406,683.383422851562,639.99658203125
85,661.764038085938,683.457397460938,640.070617675781
86,661.821044921875,683.514465332031,640.127624511719
87,661.883056640625,683.576416015625,640.189636230469
88,661.992980957031,683.686401367188,640.299621582031
89,662.032043457031,683.725463867188,640.338623046875
90,662.147033691406,683.84033203125,640.453674316406
91,662.20703125,683.900451660156,640.513610839844
92,662.307983398438,684.001342773438,640.614685058594
93,662.346008300781,684.039489746094,640.652587890625
94,662.402038574219,684.095397949219,640.708679199219
95,662.481018066406,684.174438476562,640.78759765625
96,662.565002441406,684.258422851562,640.871643066406
97,662.661010742188,684.354431152344,640.967651367188
98,662.751037597656,684.444396972656,641.0576171875
99,662.845031738281,684.538391113281,641.151611328125
100,662.933044433594,684.626403808594,641.239624023438
101,662.993041992188,684.686462402344,641.299621582031
102,663.071044921875,684.764404296875,641.377624511719
103,663.156005859375,684.849426269531,641.462585449219
104,663.234008789062,684.927429199219,641.540649414062
105,663.335998535156,685.029418945312,641.642639160156
106,663.407043457031,685.100402832031,641.713623046875
107,663.480041503906,685.173400878906,641.78662109375
108,663.58203125,685.275390625,641.888671875
109,663.676025390625,685.369384765625,641.982604980469
110,663.72802734375,685.421447753906,642.034606933594
111,663.786010742188,685.479431152344,642.092590332031
112,663.861999511719,685.555419921875,642.168640136719
113,663.924011230469,685.617431640625,642.230590820312
114,663.968994140625,685.662414550781,642.275634765625
115,664.026000976562,685.719421386719,642.332580566406
116,664.08203125,685.775451660156,642.388610839844
117,664.148010253906,685.841430664062,642.45458984375
118,664.215026855469,685.908447265625,642.521606445312
119,664.285034179688,685.978393554688,642.591613769531
120,664.33203125,686.025451660156,642.638610839844
121,664.369995117188,686.063415527344,642.676574707031
122,664.413024902344,686.1064453125,642.719665527344
123,664.526977539062,686.220397949219,642.833618164062
124,664.494995117188,686.1884765625,642.801452636719
125,664.314025878906,686.007568359375,642.620483398438
126,664.226989746094,685.920471191406,642.533508300781
127,664.110046386719,685.803527832031,642.41650390625
128,664.018981933594,685.712524414062,642.325500488281
129,663.952087402344,685.6455078125,642.258666992188
130,664.056945800781,685.750366210938,642.363525390625
131,663.89404296875,685.587585449219,642.200439453125
132,663.791015625,685.484497070312,642.097595214844
133,663.842041015625,685.535400390625,642.148620605469
134,663.81298828125,685.506469726562,642.119445800781
135,663.583068847656,685.276611328125,641.889465332031
136,663.476013183594,685.169494628906,641.782470703125
137,663.357055664062,685.050537109375,641.66357421875
138,663.469055175781,685.162353515625,641.775695800781
139,663.578002929688,685.271423339844,641.884582519531
140,663.4560546875,685.149536132812,641.762512207031
141,663.408996582031,685.102478027344,641.715576171875
142,663.393981933594,685.087463378906,641.700561523438
143,663.367065429688,685.060485839844,641.673583984375
144,663.411010742188,685.104431152344,641.717590332031
145,663.386047363281,685.079528808594,641.692626953125
146,663.518005371094,685.211364746094,641.824645996094
147,663.556030273438,685.249450683594,641.862548828125
148,663.535034179688,685.228454589844,641.841552734375
149,663.552062988281,685.245422363281,641.858642578125
150,663.671020507812,685.364379882812,641.977661132812
151,663.682006835938,685.37548828125,641.988525390625
152,663.60498046875,685.298522949219,641.911499023438
153,663.476013183594,685.169555664062,641.782531738281
154,663.452026367188,685.145446777344,641.758544921875
155,663.424011230469,685.117492675781,641.730529785156
156,663.413024902344,685.1064453125,641.719604492188
157,663.387023925781,685.080444335938,641.693542480469
158,663.318054199219,685.011535644531,641.624572753906
159,663.322998046875,685.016418457031,641.629577636719
160,663.268981933594,684.962524414062,641.575500488281
161,663.18603515625,684.879516601562,641.492553710938
162,663.174011230469,684.867431640625,641.480590820312
163,663.190002441406,684.883422851562,641.49658203125
164,663.14404296875,684.837524414062,641.450561523438
165,663.151977539062,684.845397949219,641.458557128906
166,663.080017089844,684.773559570312,641.386535644531
167,663.117004394531,684.810363769531,641.423583984375
168,663.062072753906,684.755554199219,641.368530273438
169,663.091003417969,684.784362792969,641.397583007812
170,663.051086425781,684.744567871094,641.357543945312
171,663.179016113281,684.872314453125,641.485656738281
172,663.203002929688,684.896484375,641.509521484375
173,663.18505859375,684.878479003906,641.491638183594
174,663.2919921875,684.9853515625,641.5986328125
175,663.335021972656,685.028442382812,641.6416015625
176,663.371032714844,685.064392089844,641.677612304688
177,663.367004394531,685.060485839844,641.673583984375
178,663.403015136719,685.096435546875,641.709594726562
179,663.426025390625,685.119445800781,641.732543945312
180,663.429016113281,685.122436523438,641.735595703125
181,663.489013671875,685.182434082031,641.795654296875
182,663.588012695312,685.281433105469,641.894653320312
183,663.709045410156,685.402404785156,642.015625
184,663.806030273438,685.499450683594,642.112670898438
185,663.97705078125,685.670349121094,642.28369140625
186,664.153015136719,685.846374511719,642.459655761719
187,664.27001953125,685.96337890625,642.57666015625
188,664.371032714844,686.064392089844,642.677612304688
189,664.481018066406,686.174377441406,642.787658691406
190,664.608032226562,686.301391601562,642.914672851562
191,664.716003417969,686.409423828125,643.022644042969
192,664.85400390625,686.54736328125,643.160705566406
193,665.024047851562,686.717346191406,643.330688476562
194,665.189025878906,686.882385253906,643.495666503906
195,665.371032714844,687.064331054688,643.677673339844
196,665.493041992188,687.186401367188,643.799621582031
197,665.68798828125,687.381286621094,643.994750976562
198,665.794006347656,687.487487792969,644.1005859375
199,665.944030761719,687.637329101562,644.250732421875
200,666.077026367188,687.770385742188,644.383728027344
201,666.299011230469,687.992370605469,644.605651855469
202,666.450012207031,688.143371582031,644.756713867188
203,666.627014160156,688.320373535156,644.933654785156
204,666.741027832031,688.434448242188,645.047607421875
205,666.897033691406,688.59033203125,645.203735351562
206,667.075012207031,688.768371582031,645.381591796875
207,667.210021972656,688.903381347656,645.516723632812
208,667.39599609375,689.08935546875,645.70263671875
209,667.488037109375,689.181396484375,645.794677734375
210,667.679992675781,689.373352050781,645.986694335938
