dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1750-12-31,8.719363636363637,2.6378181818181816,,,,,,
1751-12-31,7.9761428571428565,2.781142857142857,,,,,,
1752-12-31,5.7798333333333325,2.977,,,,,,
1753-12-31,8.388083333333332,3.176,,,,,,
1754-12-31,8.469333333333335,3.4942500000000005,,,,,,
1755-12-31,8.355583333333334,3.850333333333333,,,,,,
1756-12-31,8.849583333333333,3.2623333333333338,,,,,,
1757-12-31,9.022,4.026000000000001,,,,,,
1758-12-31,6.743583333333333,3.362916666666667,,,,,,
1759-12-31,7.985083333333333,3.6789166666666664,,,,,,
1760-12-31,7.185166666666667,3.0889166666666665,,,,,,
1761-12-31,8.772499999999999,3.144833333333333,,,,,,
1762-12-31,8.6065,3.5242500000000003,,,,,,
1763-12-31,7.496749999999999,3.151583333333333,,,,,,
1764-12-31,8.400333333333332,2.77525,,,,,,
1765-12-31,8.251916666666666,2.4277500000000005,,,,,,
1766-12-31,8.405666666666667,2.8358333333333334,,,,,,
1767-12-31,8.221499999999999,2.962666666666667,,,,,,
1768-12-31,6.781333333333333,2.266,,,,,,
1769-12-31,7.694583333333334,2.410083333333333,,,,,,
1770-12-31,7.691916666666667,2.780666666666667,,,,,,
1771-12-31,7.8531666666666675,2.604583333333333,,,,,,
1772-12-31,8.1935,2.463833333333333,,,,,,
1773-12-31,8.2215,2.36075,,,,,,
1774-12-31,8.772166666666665,3.4151666666666665,,,,,,
1775-12-31,9.183083333333334,2.320583333333333,,,,,,
1776-12-31,8.304,2.864166666666667,,,,,,
1777-12-31,8.256250000000001,2.442833333333333,,,,,,
1778-12-31,8.54225,2.8725,,,,,,
1779-12-31,8.98325,2.5058333333333334,,,,,,
1780-12-31,9.432916666666667,2.5848333333333335,,,,,,
1781-12-31,8.102583333333332,2.5038333333333336,,,,,,
1782-12-31,7.901249999999998,2.5505833333333334,,,,,,
1783-12-31,7.680833333333333,2.4944166666666665,,,,,,
1784-12-31,7.862000000000001,2.255666666666667,,,,,,
1785-12-31,7.3629999999999995,2.2395,,,,,,
1786-12-31,8.258166666666666,2.5254166666666666,,,,,,
1787-12-31,8.031833333333333,2.3617500000000002,,,,,,
1788-12-31,8.447166666666666,2.5578333333333334,,,,,,
1789-12-31,8.334166666666667,1.8686666666666667,,,,,,
1790-12-31,7.982333333333333,1.7716666666666667,,,,,,
1791-12-31,8.23425,1.7837500000000004,,,,,,
1792-12-31,8.089,1.7004166666666667,,,,,,
1793-12-31,8.229166666666666,2.2744166666666663,,,,,,
1794-12-31,8.526000000000002,1.9789999999999999,,,,,,
1795-12-31,8.350333333333333,2.0433333333333334,,,,,,
1796-12-31,8.270999999999999,1.9206666666666667,,,,,,
1797-12-31,8.510583333333335,2.045666666666667,,,,,,
1798-12-31,8.67025,1.9033333333333333,,,,,,
1799-12-31,8.505749999999999,1.7384166666666665,,,,,,
1800-12-31,8.484250000000001,1.7186666666666668,,,,,,
1801-12-31,8.589666666666668,1.5816666666666668,,,,,,
1802-12-31,8.578166666666666,1.849,,,,,,
1803-12-31,8.503,1.6331666666666667,,,,,,
1804-12-31,8.844833333333334,1.8418333333333334,,,,,,
1805-12-31,8.56275,1.6889166666666666,,,,,,
1806-12-31,8.434083333333332,1.5700833333333335,,,,,,
1807-12-31,8.281416666666665,1.59225,,,,,,
1808-12-31,7.626833333333333,1.996833333333333,,,,,,
1809-12-31,7.076416666666667,2.1354166666666665,,,,,,
1810-12-31,6.922666666666665,2.3109999999999995,,,,,,
1811-12-31,6.859500000000001,2.0957500000000002,,,,,,
1812-12-31,7.046250000000001,2.135583333333333,,,,,,
1813-12-31,7.7399166666666686,1.7088333333333334,,,,,,
1814-12-31,7.59175,2.1685000000000003,,,,,,
1815-12-31,7.239333333333334,1.9665,,,,,,
1816-12-31,6.9375,2.1929166666666666,,,,,,
1817-12-31,6.975666666666668,1.7083333333333333,,,,,,
1818-12-31,7.828916666666667,1.8290833333333334,,,,,,
1819-12-31,7.3691666666666675,1.5819166666666664,,,,,,
1820-12-31,7.616249999999998,1.6187500000000004,,,,,,
1821-12-31,8.090083333333332,1.3758333333333332,,,,,,
1822-12-31,8.188333333333334,1.37525,,,,,,
1823-12-31,7.7186666666666675,1.3622500000000002,,,,,,
1824-12-31,8.547166666666667,1.4478333333333335,,,,,,
1825-12-31,8.389333333333333,1.5078333333333331,,,,,,
1826-12-31,8.356583333333335,1.5595833333333333,,,,,,
1827-12-31,8.808749999999998,1.4435833333333334,,,,,,
1828-12-31,8.165333333333335,1.6484166666666666,,,,,,
1829-12-31,7.941833333333332,1.31975,,,,,,
1830-12-31,8.51675,1.4314166666666666,,,,,,
1831-12-31,7.639166666666667,1.5315,,,,,,
1832-12-31,7.450166666666667,1.5404166666666665,,,,,,
1833-12-31,8.013,1.2335,,,,,,
1834-12-31,8.14675,1.1522499999999998,,,,,,
1835-12-31,7.392499999999999,1.2753333333333334,,,,,,
1836-12-31,7.695833333333334,1.1694166666666665,,,,,,
1837-12-31,7.375666666666665,1.2909166666666667,,,,,,
1838-12-31,7.514916666666665,1.1623333333333334,,,,,,
1839-12-31,7.632249999999999,1.1794166666666668,,,,,,
1840-12-31,7.796250000000001,0.9911666666666665,,,,,,
1841-12-31,7.688166666666667,0.952,,,,,,
1842-12-31,8.02275,0.8975,,,,,,
1843-12-31,8.173666666666666,0.7498333333333332,,,,,,
1844-12-31,7.646333333333334,0.926,,,,,,
1845-12-31,7.851166666666668,0.8815,,,,,,
1846-12-31,8.55275,1.05175,,,,,,
1847-12-31,8.086,0.9006666666666666,,,,,,
1848-12-31,7.979500000000001,0.8713333333333333,,,,,,
1849-12-31,7.984416666666667,0.9135833333333334,,,,,,
1850-12-31,7.900666666666666,0.8764166666666666,13.476666666666667,2.3948333333333336,1.964333333333333,1.5711666666666666,14.867166666666668,0.30816666666666676
1851-12-31,8.178583333333332,0.8819166666666667,13.081000000000001,2.39725,2.2039166666666667,1.6324166666666666,14.991833333333332,0.3120833333333333
1852-12-31,8.100166666666665,0.91825,13.397333333333336,2.61925,2.337,1.3829166666666666,15.006500000000003,0.3164166666666667
1853-12-31,8.041833333333333,0.835,13.886583333333334,2.095083333333333,1.8925,1.355583333333333,14.955166666666669,0.2838333333333333
1854-12-31,8.2105,0.8256666666666667,13.977416666666668,1.7833333333333332,1.7621666666666667,1.3570000000000002,14.990999999999998,0.2764166666666667
1855-12-31,8.110749999999998,0.8871666666666668,13.493166666666665,1.3314166666666667,1.7028333333333334,1.655333333333333,15.021083333333332,0.2911666666666667
1856-12-31,7.995916666666666,0.7607499999999999,13.470249999999998,1.7982500000000003,1.5250833333333336,1.7784999999999995,14.879333333333333,0.2601666666666667
1857-12-31,7.758166666666668,0.7510833333333333,13.43758333333333,2.1791666666666667,1.8568333333333333,1.5911666666666668,14.758249999999999,0.25975
1858-12-31,8.10025,0.69975,13.683,1.8699999999999994,2.1107499999999995,1.2243333333333335,14.8815,0.2518333333333334
1859-12-31,8.252,0.6746666666666666,13.860333333333335,1.87475,2.4601666666666664,1.143,14.929916666666669,0.25825000000000004
1860-12-31,7.960833333333333,0.626,13.96025,1.9348333333333336,2.3441666666666663,1.0843333333333334,14.882916666666665,0.2521666666666667
1861-12-31,7.846500000000002,0.6534166666666668,13.856750000000003,1.7413333333333334,2.26275,1.1636666666666666,14.800666666666666,0.27849999999999997
1862-12-31,7.558583333333334,0.6889166666666666,14.247250000000001,2.008666666666666,2.4827500000000002,1.4443333333333335,14.740083333333333,0.2876666666666667
1863-12-31,8.111833333333333,0.7479999999999999,13.619916666666667,1.8411666666666668,2.7670833333333333,1.34525,14.93575,0.3163333333333333
1864-12-31,7.983583333333335,0.6764166666666668,13.918916666666668,1.3424166666666668,2.4101666666666666,1.3254166666666667,14.896499999999998,0.28783333333333333
1865-12-31,8.177833333333334,0.6621666666666667,14.298083333333333,1.441,2.551833333333333,1.2215833333333335,14.996666666666668,0.30424999999999996
1866-12-31,8.292166666666665,0.6060000000000002,14.165916666666666,1.1125,2.4322500000000007,1.1496666666666666,15.057000000000002,0.28608333333333336
1867-12-31,8.436333333333334,0.6348333333333332,14.146749999999997,1.1529166666666668,2.463666666666667,1.1185,15.058666666666667,0.28575
1868-12-31,8.247916666666667,0.5463333333333333,14.097916666666668,1.1844999999999997,2.369666666666667,1.04475,15.096916666666667,0.24933333333333332
1869-12-31,8.432083333333333,0.5956666666666667,14.0695,1.2373333333333332,2.1650833333333335,1.2519166666666666,15.065499999999998,0.24358333333333337
1870-12-31,8.201333333333332,0.5501666666666667,14.210083333333335,1.5009166666666667,2.4248333333333325,1.2339166666666668,15.004333333333335,0.22483333333333333
1871-12-31,8.115083333333333,0.57025,13.983833333333335,1.1195000000000002,2.158,1.115,15.00591666666667,0.232
1872-12-31,8.193833333333332,0.5890833333333335,14.285083333333334,0.9934999999999999,2.1874166666666666,1.1159166666666667,15.019333333333336,0.2305
1873-12-31,8.351083333333333,0.5505,14.010166666666665,0.9541666666666666,1.9040833333333327,1.0369166666666667,15.04925,0.2220833333333333
1874-12-31,8.4335,0.5179166666666667,13.8835,1.0089166666666667,2.0616666666666665,1.02025,14.957,0.21333333333333335
1875-12-31,7.859583333333334,0.4515,14.008416666666664,0.9113333333333333,1.6141666666666659,0.9463333333333335,14.921916666666668,0.19708333333333336
1876-12-31,8.080083333333333,0.43349999999999994,13.934833333333335,0.805,2.134666666666667,0.8708333333333332,14.90941666666667,0.19333333333333333
1877-12-31,8.539583333333333,0.4559166666666666,14.430333333333332,0.8361666666666666,2.6485833333333337,0.8460000000000001,15.28266666666667,0.19674999999999998
1878-12-31,8.829749999999999,0.42491666666666666,14.742166666666664,0.75825,2.981666666666667,0.8750833333333334,15.357416666666666,0.18625000000000003
1879-12-31,8.165833333333333,0.46341666666666675,14.06575,0.7595,2.0789166666666667,0.7324166666666666,15.064416666666668,0.18341666666666664
1880-12-31,8.118749999999999,0.41491666666666677,13.913416666666668,0.6961666666666667,2.054416666666667,0.7378333333333335,15.008666666666665,0.1729166666666667
1881-12-31,8.270916666666666,0.4193333333333334,14.050416666666669,0.7109166666666668,2.4264166666666664,0.6388333333333333,15.087166666666668,0.17008333333333334
1882-12-31,8.128916666666667,0.3799166666666666,14.11425,0.66925,2.2725833333333334,0.6423333333333333,15.05658333333333,0.16008333333333333
1883-12-31,7.976916666666665,0.3706666666666667,13.962249999999997,0.62825,1.880166666666666,0.5594166666666667,14.96325,0.1511666666666667
1884-12-31,7.773666666666667,0.39625,13.692083333333334,0.6061666666666666,1.6477500000000003,0.5691666666666665,14.833250000000001,0.15066666666666667
1885-12-31,7.919666666666668,0.425,13.911583333333333,0.588,1.8742500000000002,0.5851666666666667,14.854416666666667,0.15491666666666667
1886-12-31,7.954499999999999,0.38599999999999995,13.9465,0.65125,1.971166666666667,0.5730833333333333,14.835250000000002,0.14533333333333334
1887-12-31,7.914916666666667,0.39208333333333334,13.890083333333335,0.5888333333333333,1.9069166666666666,0.5555833333333332,14.816,0.15016666666666667
1888-12-31,8.0905,0.3824166666666666,13.909166666666664,0.5886666666666667,1.9540833333333332,0.5604166666666667,14.994083333333336,0.14925
1889-12-31,8.318999999999999,0.3698333333333334,14.294083333333333,0.5467500000000001,2.3480833333333333,0.5507500000000001,15.113416666666668,0.15241666666666667
1890-12-31,7.971666666666667,0.34299999999999997,13.928916666666664,0.58175,1.8507500000000003,0.50825,14.84075,0.1496666666666667
1891-12-31,8.019333333333334,0.3353333333333334,14.033333333333331,0.4699166666666667,1.9055000000000006,0.4410833333333332,14.94383333333333,0.15358333333333332
1892-12-31,8.065833333333332,0.33883333333333326,13.970583333333332,0.5106666666666666,1.9816666666666665,0.40924999999999995,14.8825,0.156
1893-12-31,8.05675,0.34525,13.936666666666666,0.4659166666666667,1.9071666666666667,0.36774999999999997,14.912250000000002,0.15425000000000003
1894-12-31,8.161,0.31725,14.040500000000002,0.4252500000000001,2.12375,0.41716666666666674,14.91475,0.15033333333333332
1895-12-31,8.147,0.29924999999999996,14.077666666666666,0.46308333333333335,2.075833333333334,0.41391666666666665,14.969000000000001,0.14683333333333334
1896-12-31,8.214916666666666,0.30883333333333335,14.107916666666666,0.4748333333333333,2.11475,0.3995,15.090583333333335,0.148
1897-12-31,8.293333333333335,0.3138333333333333,14.186749999999998,0.49133333333333334,2.2940833333333335,0.37975,15.075333333333335,0.14933333333333335
1898-12-31,8.177999999999999,0.3256666666666667,14.231833333333332,0.4582499999999999,2.153,0.3881666666666666,14.886916666666664,0.1485
1899-12-31,8.396333333333333,0.32475000000000004,14.331583333333334,0.42566666666666664,2.430083333333333,0.38083333333333336,15.048333333333334,0.1475
1900-12-31,8.501583333333333,0.31475000000000003,14.3895,0.3875833333333334,2.5756666666666668,0.40625,15.143916666666668,0.15025
1901-12-31,8.541916666666665,0.30624999999999997,14.512166666666667,0.44816666666666666,2.4904999999999995,0.39749999999999996,15.073333333333332,0.14575000000000002
1902-12-31,8.304416666666667,0.29275,14.36425,0.39433333333333337,2.20375,0.3561666666666667,14.958333333333334,0.13549999999999998
1903-12-31,8.220166666666668,0.29,14.085749999999997,0.38975000000000004,2.2833333333333337,0.37825000000000003,14.836583333333335,0.13483333333333336
1904-12-31,8.090916666666667,0.2864166666666667,14.063666666666663,0.5,2.1710833333333337,0.33775,14.810416666666669,0.13308333333333333
