year,data_mean_global,data_mean_nh,data_mean_sh
2015,328.179481978254,328.476097418734,327.882866537774
2016,329.075974884508,329.363317466155,328.788632302862
2017,329.790975802242,330.078315764152,329.503635840332
2018,330.564974481674,330.852312871931,330.277636091418
2019,331.356974504232,331.644312340872,331.069636667592
2020,332.164974333117,332.452311287788,331.877637378446
2021,332.990974117686,333.278310345827,332.703637889545
2022,333.831973974212,334.119309518212,333.544638430213
2023,334.686973818738,334.974308785417,334.399638852059
2024,335.554973709844,335.842308016783,335.267639402905
2025,336.43697354668,336.724307266313,336.149639827046
2026,337.331973439512,337.619306507764,337.04464037126
2027,338.240973276852,338.528305746307,337.953640807397
2028,339.162973160446,339.450304999948,338.875641320944
2029,340.097973006992,340.385304320238,339.810641693746
2030,341.04497292436,341.332303600485,340.757642248236
2031,342.005972740157,342.293302822506,341.718642657807
2032,342.977972621654,343.265302283164,342.690642960145
2033,343.958972542616,344.246301774032,343.6716433112
2034,344.948972433577,345.236301294192,344.661643572962
2035,345.946972374247,346.234300837887,345.659643910607
2036,346.953972273951,347.24130032533,346.666644222572
2037,347.969972191396,348.257299811625,347.682644571167
2038,348.994972082453,349.282299331133,348.707644833773
2039,350.027972024489,350.315298875922,349.740645173057
2040,351.069971916549,351.357298360623,350.782645472475
2041,352.119971829168,352.407297947941,351.832645710396
2042,353.176971768715,353.464297551508,352.889645985922
2043,354.24097167782,354.528297179835,353.953646175805
2044,355.310971643217,355.598296837455,355.023646448979
2045,356.387971549107,356.67529644015,356.100646658064
2046,357.470971499617,357.758296122622,357.183646876611
2047,358.559971434877,358.847295781469,358.272647088284
2048,359.654971379246,359.942295442534,359.367647315959
2049,360.755971309418,361.043295118085,360.468647500751
2050,361.862971279495,362.150294751066,361.575647807924
2051,362.976971146975,363.264294388154,362.689647905795
2052,364.094971169667,364.382294186761,363.807648152574
2053,365.218971056395,365.506293817253,364.931648295538
2054,366.346971035968,366.634293650516,366.05964842142
2055,367.478971006176,367.766293392065,367.191648620288
2056,368.61597093382,368.903293114619,368.328648753021
2057,369.756970915437,370.044292905312,369.469648925561
2058,370.902970863548,371.190292590002,370.615649137095
2059,372.053970779344,372.341292343793,371.766649214895
2060,373.207970797686,373.495292189067,372.920649406305
2061,374.366970711065,374.654291864726,374.079649557405
2062,375.529970683556,375.81729168506,375.242649682052
2063,376.696970657632,376.984291431435,376.40964988383
2064,377.868970574054,378.156291151393,377.581649996715
2065,379.043970555725,379.331291032861,378.756650078588
2066,380.221970549717,380.509290830768,379.934650268666
2067,381.404970475618,381.692290522044,381.117650429193
2068,382.591970430347,382.879290341655,382.304650519039
2069,383.781970423452,384.069290169233,383.494650677671
2070,384.975970348205,385.263289931322,384.688650765088
2071,386.172970374854,386.460289781402,385.885650968306
2072,387.374970245247,387.662289457162,387.087651033333
2073,388.578970303971,388.866289431934,388.291651176008
2074,389.7869701877,390.074289121669,389.499651253731
2075,390.996970239334,391.284289098296,390.709651380372
2076,392.210970146489,392.498288778026,391.923651514951
2077,393.427970141694,393.715288688989,393.140651594399
2078,394.647970117144,394.935288472936,394.360651761352
2079,395.871970044496,396.159288254477,395.584651834514
