year,data_mean_global,data_mean_nh,data_mean_sh
2015,328.179573463395,328.47618885985,327.88295806694
2016,329.075974871573,329.363317514233,328.788632228913
2017,329.789975821159,330.077315786733,329.502635855585
2018,330.562974459005,330.850312980153,330.275635937857
2019,331.350974546736,331.638312605713,331.063636487759
2020,332.153974377497,332.441311571954,331.86663718304
2021,332.973974139064,333.261310703808,332.686637574319
2022,333.80397402043,334.091310299536,333.516637741323
2023,334.639973978247,334.927309947119,334.352638009375
2024,335.481973888525,335.769309660799,335.194638116251
2025,336.327973878522,336.615309437928,336.040638319117
2026,337.179973815659,337.467309035745,336.892638595573
2027,338.037973725009,338.325308780341,337.750638669677
2028,338.899973725731,339.18730850989,338.612638941571
2029,339.767973633475,340.055308194801,339.480639072148
2030,340.640973612522,340.928307884959,340.353639340085
2031,341.519973509871,341.807307575015,341.232639444728
2032,342.401973483559,342.689307463219,342.114639503899
2033,343.285973474668,343.573307343951,342.998639605384
2034,344.172973444873,344.460307146898,343.885639742848
2035,345.062973396395,345.350307016262,344.775639776528
2036,345.954973402863,346.242306878839,345.667639926887
2037,346.849973342344,347.137306734888,346.5626399498
2038,347.746973357601,348.034306591996,347.459640123207
2039,348.646973282255,348.934306473607,348.359640090904
2040,349.548973328602,349.836306262706,349.261640394498
2041,350.452973029375,350.740306309248,350.165639749501
2042,351.330973035604,351.618308551156,351.043637520051
2043,352.151973770764,352.439312019243,351.864635522285
2044,352.916974280045,353.204315048462,352.629633511629
2045,353.62597485048,353.913318236713,353.338631464247
2046,354.278975437288,354.566321335922,353.991629538654
2047,354.87797595469,355.165324346467,354.590627562913
2048,355.421976512527,355.709327468963,355.134625556091
2049,355.911977100087,356.199330402844,355.62462379733
2050,356.348977500311,356.636333523024,356.061621477599
2051,356.731978527684,357.019336308138,356.44462074723
2052,357.103978915836,357.391335829188,356.816622002485
2053,357.505978418878,357.793333752248,357.218623085509
2054,357.937978194189,358.225332217114,357.650624171265
2055,358.399977856293,358.687330486791,358.112625225795
2056,358.891977598694,359.179328801921,358.604626395466
2057,359.414977213133,359.702327079941,359.127627346326
2058,359.965977025452,360.253325531792,359.678628519112
2059,360.547976611739,360.835323756704,360.260629466774
2060,361.157976445333,361.445322223633,360.870630667033
2061,361.79797592842,362.085320545238,361.510631311602
2062,362.452975735818,362.740320104921,362.165631366714
2063,363.110975752715,363.398320025507,362.823631479922
2064,363.771975684999,364.059319826381,363.484631543617
2065,364.434975699819,364.72231974422,364.147631655419
2066,365.100975641073,365.388319542813,364.813631739332
2067,365.768975626557,366.056319474693,365.481631778421
2068,366.438975643133,366.726319326288,366.151631959978
2069,367.112975531389,367.400319090056,366.825631972723
2070,367.787975603573,368.075319096231,367.500632110915
2071,368.465975457807,368.753318866426,368.178632049188
2072,369.139975466604,369.427319322205,368.852631611004
2073,369.802975625684,370.090319988308,369.515631263059
2074,370.45597566213,370.743320509823,370.168630814438
2075,371.096975869166,371.384321240713,370.809630497619
2076,371.728975860058,372.016321649402,371.441630070713
2077,372.348976082157,372.636322441794,372.06162972252
2078,372.959976088557,373.24732280695,372.672629370164
2079,373.559976240422,373.847323556032,373.272628924813
2080,374.148976359314,374.436324091904,373.861628626724
2081,374.728976416226,375.016324593461,374.441628238991
2082,375.297976547608,375.585325265872,375.010627829344
2083,375.855976642735,376.143325850404,375.568627435067
2084,376.402976777894,376.690326484482,376.115627071306
2085,376.939976847136,377.227327008215,376.652626686056
2086,377.465976989192,377.75332767477,377.178626303614
2087,377.981977071522,378.269328175261,377.694625967783
2088,378.487977170678,378.775328775099,378.200625566257
2089,378.982977277434,379.270329395818,378.695625159049
2090,379.466977415611,379.754330008823,379.179624822399
2091,379.94197748752,380.229330456479,379.654624518561
2092,380.407977587653,380.695330999135,380.120624176171
2093,380.864977680937,381.152331477176,380.577623884698
2094,381.313977775895,381.60133191355,381.026623638239
2095,381.755977809265,382.043332283496,381.468623335035
2096,382.188977934358,382.476332866054,381.901623002663
2097,382.613978004931,382.901333227249,382.326622782614
2098,383.031978070377,383.319333652307,382.744622488446
2099,383.441978150857,383.729334107328,383.154622194387
2100,383.843978237315,384.131334487536,383.556621987094
2101,384.238978310289,384.526334992212,383.951621628366
2102,384.626978404031,384.914335245959,384.339621562103
2103,385.010978428188,385.298335524209,384.723621332166
2104,385.389978491139,385.677335763544,385.102621218733
2105,385.764978518455,386.052336004746,385.477621032165
2106,386.134978571787,386.422336297389,385.847620846185
2107,386.499978630909,386.787336571289,386.212620690529
2108,386.860978668276,387.148336760764,386.573620575787
2109,387.217978698648,387.505337024814,386.930620372481
2110,387.569978761727,387.857337295479,387.282620227974
2111,387.917978798596,388.205337497356,387.630620099836
2112,388.261978828969,388.549337742554,387.974619915384
2113,388.600978891319,388.888338040621,388.313619742016
2114,388.935978930511,389.223338200863,388.648619660158
2115,389.266978955957,389.554338511804,388.979619400109
2116,389.592979035492,389.880338708708,389.305619362276
2117,389.915979033149,390.203338922887,389.628619143412
2118,390.233979104094,390.521339200851,389.946619007336
2119,390.547979138594,390.8353394079,390.260618869288
2120,390.857979178555,391.145339646201,390.570618710909
2121,391.163979221129,391.451339849475,390.876618592782
2122,391.46597925565,391.753340109624,391.178618401676
2123,391.763979314326,392.051340274918,391.476618353736
2124,392.058979312016,392.346340494994,391.771618129037
2125,392.348979387022,392.636340763322,392.061618010722
2126,392.634979415552,392.922340993348,392.347617837756
2127,392.916979472496,393.204341190411,392.629617754581
2128,393.195979484943,393.483341365558,392.908617604328
2129,393.470979530517,393.75834160607,393.183617454964
2130,393.741979571452,394.02934181788,393.454617325025
2131,394.00897960638,394.296342061931,393.721617150828
2132,394.271979664695,394.559342251573,393.984617077816
2133,394.531979671373,394.819342440472,394.244616902274
2134,394.787979734811,395.075342653555,394.500616816068
2135,395.040979745151,395.328342819267,394.753616671036
2136,395.289979789547,395.577343068408,395.002616510686
2137,395.534979842041,395.822343270398,395.247616413685
2138,395.776979858584,396.064343429817,395.489616287352
2139,396.014979892557,396.302343700092,395.727616085023
2140,396.248979974856,396.536343855721,395.961616093992
2141,396.480979926357,396.768344015201,396.193615837514
2142,396.707980049739,396.995344285588,396.420615813889
2143,396.93298001499,397.220344369319,396.64561566066
2144,397.153980073671,397.441344643634,396.866615503709
2145,397.370980121469,397.658344839818,397.083615403119
2146,397.584980145027,397.872345002125,397.29761528793
2147,397.795980181745,398.083345165692,397.508615197798
2148,398.00398019326,398.291345349307,397.716615037214
2149,398.207980254155,398.495345579134,397.920614929176
2150,398.408980278224,398.696345721781,398.121614834667
2151,398.606980296347,398.894345908798,398.319614683896
2152,398.800980348425,399.088346146527,398.513614550323
2153,398.99198039917,399.279346266207,398.704614532134
2154,399.180980357675,399.468346412517,398.893614302834
2155,399.364980480727,399.652346714769,399.077614246684
