,Unit
CO2,ppm
CH4,ppb
N2O,ppb
SF6,ppt
NF3,ppt
SO2F2,ppt
CF4,ppt
C2F6,ppt
C3F8,ppt
c-C4F8,ppt
C4F10,ppt
C5F12,ppt
C6F14,ppt
C7F16,ppt
C8F18,ppt
HFC-23,ppt
HFC-32,ppt
HFC-43-10mee,ppt
HFC-125,ppt
HFC-134a,ppt
HFC-134a-eq,ppt
HFC-143a,ppt
HFC-152a,ppt
HFC-236fa,ppt
HFC-227ea,ppt
HFC-245fa,ppt
HFC-365mfc,ppt
CCl4,ppt
CHCl3,ppt
CH2Cl2,ppt
CH3CCl3,ppt
CH3Cl,ppt
CH3Br,ppt
CFC11,ppt
CFC11-eq,ppt
CFC12,ppt
CFC12-eq,ppt
CFC113,ppt
CFC114,ppt
CFC115,ppt
HCFC-22,ppt
HCFC-141b,ppt
HCFC-142b,ppt
Halon 1211,ppt
Halon 1301,ppt
Halon 2402,ppt
